"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","organ"
4.20385735737957e-14,0.885051063213854,0.146,0,2.3325943318892e-09,"Xist","0","Colon"
1.98053260250549e-08,0.55178505652581,0.737,0.56,0.00109893812515222,"Crlf3","0","Colon"
6.71439592489256e-08,0.635359445563707,0.333,0.166,0.00372561686684514,"Atp6v1d","0","Colon"
1.38046675383092e-07,0.567021679923386,0.501,0.324,0.00765979587698162,"Klf3","0","Colon"
4.08233154034241e-28,0.959513670903965,0.168,0.002,2.26516330178979e-23,"Xist","0","Lung"
1.91641372856761e-14,0.600658671818505,0.187,0.057,1.06336048557031e-09,"Slc15a2","0","Lung"
7.2649910023797e-09,0.490630653325645,0.684,0.555,0.000403112555749042,"Ifi27l2a","0","Lung"
2.06575806646236e-08,0.315985899418378,0.687,0.571,0.00114622717833797,"Rflnb","0","Lung"
2.33649261608626e-08,1.03417361183286,0.185,0.006,0.00129644965788778,"Xist","1","Colon"
5.22150731646922e-27,1.01769656437306,0.228,0,2.89725776468928e-22,"Xist","1","Lung"
4.57761683243436e-12,0.570406816817638,0.219,0.067,2.53998225181286e-07,"Slc15a2","1","Lung"
2.8792787205386e-11,0.594195160618558,0.654,0.463,1.59762538366525e-06,"Ifi27l2a","1","Lung"
2.87012724509966e-34,1.08385440999989,0.243,0,1.59254750448845e-29,"Xist","2","mLns"
1.15112186094602e-08,0.331885465138465,0.133,0.04,0.000638722986983121,"Slc15a2","2","mLns"
2.06219988205136e-07,0.326783457325492,0.668,0.522,0.0114425284855384,"Dnaja1","2","mLns"
7.05895813679727e-26,1.06929674756196,0.186,0,3.9168041013647e-21,"Xist","3","mLns"
8.06591986000905e-09,0.423355587544051,0.673,0.518,0.000447553695272322,"Ifi27l2a","3","mLns"
5.1606258902387e-08,0.344452331265768,0.244,0.12,0.00286347648771675,"Ehd3","3","mLns"
5.53410911739276e-25,1.80425420585244,0.397,0,3.07071112596772e-20,"Xist","4","Colon"
5.53410911739276e-25,1.80425420585244,0.397,0,3.07071112596772e-20,"Xist","4","Lung"
5.53410911739276e-25,1.80425420585244,0.397,0,3.07071112596772e-20,"Xist","4","mLns"
2.68500974428341e-08,1.68543491425902,0.367,0,0.00148983135681053,"Xist","5","Colon"
2.95492982484628e-15,1.5297217387142,0.421,0.009,1.63960191191245e-10,"Xist","5","Lung"
1.44340438849443e-08,3.24270230151422,0.269,0.018,0.000800901793043906,"Il17a","5","Lung"
1.76583777647665e-08,1.01490423617926,0.375,0.08,0.000979810407033598,"Ccr6","5","Lung"
3.21181515384018e-08,1.02588033086776,0.447,0.152,0.0017821398744113,"Tmem176a","5","Lung"
1.19904537840576e-07,0.748282775970997,0.214,0,0.00665314309116002,"Il17re","5","Lung"
2.50692366947427e-07,0.893990601596764,0.472,0.188,0.0139101673648119,"Tmem176b","5","Lung"
2.81381874767408e-07,0.890546317473287,0.298,0.054,0.0156130360852192,"Serpinb1a","5","Lung"
4.79431091833448e-07,0.769392860524663,0.21,0.009,0.0266021929925625,"Il1r1","5","Lung"
6.27833885010832e-07,0.914430093251106,0.333,0.089,0.034836618777596,"Aqp3","5","Lung"
9.37773900716026e-09,1.3744344790427,0.281,0,0.000520342604290301,"Xist","8","mLns"
3.14508349571796e-08,1.5411032721578,0.416,0,0.00174511247926903,"Xist","12","Lung"
3.14508349571796e-08,1.5411032721578,0.416,0,0.00174511247926903,"Xist","12","mLns"
3.14508349571796e-08,1.5411032721578,0.416,0,0.00174511247926903,"Xist","13","Colon"
