"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.49060226072036e-15,0.0814539573274046,0.999,1,1.90797089372205e-13,"0","VISTA"
2.35287776470168e-06,0.0564475424104092,0.997,0.996,0.000301168353881815,"0","CD45"
1.73877389349222e-05,0.0805799877460851,0.997,0.997,0.00222563058367005,"0","SCA1"
3.8968818154967e-13,0.0919262353245125,0.999,1,4.98800872383578e-11,"1","VISTA"
1.81000343735322e-09,0.100895984500994,1,1,2.31680439981213e-07,"1","ITB7"
1.35904977197018e-07,0.0894063949860489,1,1,1.73958370812183e-05,"1","CD103"
5.92103210158853e-08,0.0903175783443306,1,1,7.57892109003332e-06,"2","ITB7"
1.97377036745519e-07,0.088093304852112,0.999,1,2.52642607034265e-05,"2","CD103"
0.000150559200323014,0.0544687314035293,0.965,0.967,0.0192715776413458,"2","SCA1"
5.94488211550274e-13,0.0779266703974709,0.999,1,7.60944910784351e-11,"3","VISTA"
1.78966637916867e-09,0.0774210675045547,1,0.998,2.2907729653359e-07,"3","CD45"
3.94789125865052e-06,0.104082850063941,0.996,0.988,0.000505330081107266,"3","SCA1"
0.000143129902718716,0.0531103848925879,0.989,0.977,0.0183206275479957,"3","ICOS.CD278"
1.05830784192637e-10,0.150205302644546,1,1,1.35463403766576e-08,"5","SLAM.CD150"
1.08767749706129e-10,0.225246767203375,0.998,1,1.39222719623845e-08,"5","ICOS.CD278"
3.88819489888214e-08,0.100563323568621,1,1,4.97688947056914e-06,"5","CD11A"
3.38198991266691e-05,0.108802366368853,1,1,0.00432894708821364,"5","CD48"
4.2818805892429e-05,0.137569630424415,0.998,1,0.00548080715423092,"5","CD38"
0.000212090466649137,0.0962514809904784,0.995,0.984,0.0271475797310895,"5","CXCR6.CD186"
0.000300846047914145,0.0842707260088029,1,1,0.0385082941330105,"5","CD61"
9.32383820826995e-06,0.1367637623506,1,1,0.00119345129065855,"7","VISTA"
5.16348606489607e-05,0.430441872635104,1,1,0.00660926216306697,"11","ICOS.CD278"
